Index,Customer Id,First Name,Last Name,Company,City,Country,Phone 1,Phone 2,Email,Subscription Date_year,Subscription Date_month,Subscription Date_day,Subscription Date_weekday
1,62,83,3,76,19,15,62,73,98,2020,8,24,0
2,7,71,58,92,18,18,75,89,88,2021,4,23,4
3,27,78,7,62,34,3,32,12,10,2020,3,25,2
4,22,57,74,24,1,20,49,37,74,2020,6,2,1
5,2,43,5,51,96,67,40,40,19,2021,4,17,5
6,14,0,20,87,6,11,5,99,55,2020,2,25,1
7,66,24,76,49,40,59,9,22,79,2021,8,24,1
8,5,6,73,79,39,12,46,44,6,2021,4,12,0
9,50,83,68,7,72,16,94,29,57,2020,1,13,0
10,36,64,30,3,25,74,87,38,63,2021,11,8,0
11,8,11,84,66,74,27,81,65,48,2021,10,20,2
12,56,42,18,39,13,81,0,32,58,2020,11,29,6
13,91,88,62,31,80,75,51,17,3,2021,12,2,3
14,42,53,14,12,36,70,89,24,38,2021,2,8,0
15,29,30,59,13,4,66,22,69,15,2022,1,26,2
16,38,65,4,86,12,54,76,33,86,2022,4,12,1
17,78,12,27,98,91,82,96,46,39,2021,3,10,2
18,73,38,62,90,44,48,17,3,43,2022,3,26,5
19,70,17,51,85,30,69,37,14,44,2020,9,24,3
20,4,43,56,54,35,24,4,5,81,2021,9,24,4
21,41,63,29,70,14,43,70,68,27,2022,1,12,2
22,74,52,48,50,76,51,41,31,11,2020,9,15,1
23,13,18,49,32,2,58,60,18,70,2020,8,19,2
24,0,41,90,97,89,36,64,80,75,2020,9,8,1
25,93,80,93,89,3,0,8,82,56,2021,4,6,1
26,3,62,70,29,38,57,82,95,23,2022,5,24,1
27,82,21,79,84,50,6,7,62,73,2022,2,20,6
28,84,33,42,37,84,72,24,70,42,2022,5,26,3
29,19,85,25,80,0,64,20,30,92,2020,7,30,3
30,67,51,9,81,60,73,28,66,69,2020,4,26,6
31,25,40,88,0,98,84,97,60,31,2021,9,15,2
32,26,87,89,56,10,17,68,15,77,2022,1,13,3
33,31,34,67,1,67,38,67,86,18,2021,4,24,5
34,43,46,83,35,56,78,80,76,30,2021,9,21,1
35,80,30,71,96,95,5,29,36,90,2021,11,3,2
36,63,86,40,68,24,7,42,9,35,2022,1,4,1
37,35,67,86,42,78,79,14,97,29,2021,8,10,1
38,33,45,32,30,86,68,86,92,80,2021,2,24,2
39,90,8,23,40,66,46,77,49,68,2021,10,22,4
40,6,82,31,2,93,60,35,19,5,2021,11,1,0
41,15,66,33,58,92,20,92,79,78,2020,10,10,5
42,28,9,22,43,62,13,48,64,91,2021,9,8,2
43,32,91,85,71,21,10,6,77,7,2020,12,13,6
44,60,59,36,22,58,12,43,88,13,2022,5,15,6
45,17,74,28,36,45,45,2,27,96,2021,12,6,0
46,97,44,69,74,29,55,23,11,45,2020,7,1,2
47,16,35,38,83,99,80,98,20,9,2020,4,23,3
48,10,37,63,5,64,26,71,45,8,2022,3,11,4
